Star	HD	RA	dec	Vmag	Vmagerr	par	parerr	source	teff	tefferr	logg	loggerr	logglc	logglcerr	vt	vterr	feh	feherr	mass	masserr	Author	link	flag	updated	Comment	tmp
HIP 12961	NULL	02 46 42.89	-23 05 11.80	10.24	0.02	43.45	1.72	Simbad	3823	110	4.65	0.09	NULL	NULL	NULL	NULL	0.22	0.09	0.67	0.07	Santos et al. 2013,Neves et al. 2014	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N	1	2017-04-11	M dwarf	NULL
HIP 14810	NULL	03 11 14.23	+21 05 50.49	8.5	0.02	18.71	1.26	Simbad	5601	28	4.43	0.05	NULL	NULL	0.96	0.04	0.26	0.02	0.99	0.07	Delgado-Mena et al. 2014	http://adsabs.harvard.edu/abs/2013arXiv1311.6414D	1	2017-01-09	NULL	NULL
HIP 41378	NULL	08 26 28.00	+10 04 49.00	8.9	0.02	8.56	1.24	Simbad	6199	50	4.18	0.1	NULL	NULL	NULL	NULL	-0.11	0.08	1.23	0.1	Vanderburg et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1606.08441	0	2016-07-04	NULL	NULL
HIP 5158	NULL	01 06 02.04	-22 27 11.34	10.21	NULL	24.28	2.14	Simbad	4673	175	4.24	0.47	NULL	NULL	0.34	1.09	0.22	0.12	0.81	0.19	Tsantaki et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...555A.150T	1	2013-02-26	NULL	NULL
HIP 57050	NULL	11 41 44.63	+42 45 07.11	11.88	0.01	90.1	2.8	Simbad	3032	150	4.92	0.21	NULL	NULL	NULL	NULL	0.25	0.1	0.35	0.03	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2017-04-10	M dwarf	NULL
HIP 57274	NULL	11 44 40.96	+30 57 33.45	8.96	NULL	38.58	1	Simbad	4510	136	4.11	0.46	NULL	NULL	0.32	0.59	0.01	0.06	0.77	0.19	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
HIP 63242	112410	12 57 31.96	-65 38 47.26	6.87	0.01	7.42	0.49	Simbad	4832	36	2.5	0.12	NULL	NULL	1.66	0.04	-0.32	0.03	2.35	0.28	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2017-04-11	NULL	NULL
HIP 65407	NULL	13 24 21.00	+48 53 06.00	9.42	0.02	16.74	1.28	Simbad	5460	50	4.47	0.08	NULL	NULL	NULL	NULL	0.25	0.04	1.02	0.07	Hebrard et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.04622	1	2016-02-25	NULL	NULL
HIP 65891	117253	13 30 25.00	-58 39 52.00	6.75	NULL	7.35	0.6	Simbad	5000	100	2.9	0.2	NULL	NULL	NULL	NULL	0.16	0.1	2.04	0.37	Jones et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150506718J	0	2015-06-04	NULL	NULL
HIP 67537	120457	13 50 19.00	-39 54 03.00	6.44	0.01	8.88	0.46	Simbad	4985	100	2.85	0.2	NULL	NULL	NULL	NULL	0.15	0.08	2.1	0.39	Jones et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1612.06252	0	2017-02-13	NULL	NULL
HIP 67851	121056	13 53 52.00	-35 18 52.00	6.17	NULL	15.16	0.39	Simbad	4890	100	3.15	0.2	NULL	NULL	1.14	NULL	0	0.1	1.58	0.28	Jones et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1409.7429J	0	2014-10-20	NULL	NULL
HIP 68468	122194	14 01 04.00	-32 45 25.00	9.36	0.02	11.39	1.32	Simbad	5857	8	4.32	0.02	NULL	NULL	1.14	0.01	0.07	0.01	1.12	0.07	Melendez et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1610.09067	0	2016-11-23	NULL	NULL
HIP 70849	NULL	14 29 18.56	-46 27 49.74	10.38	NULL	42.42	2.09	Simbad	4105	130	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.63	0.03	Segransan et al. 2011	http://adsabs.harvard.edu/abs/2011A%26A...535A..54S	NULL	2013-02-26	NULL	NULL
HIP 74890	135760	15 18 17.00	-41 25 14.00	7.05	0.01	10.93	0.63	Simbad	4850	100	3.1	0.2	NULL	NULL	NULL	NULL	0.2	0.13	1.69	0.3	Jones et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1603.03738	0	2016-03-24	NULL	NULL
HIP 75458	137759	15 24 55.77	+58 57 57.83	3.31	NULL	32.23	0.1	Simbad	4882	221	3.67	0.35	NULL	NULL	2.95	0.73	-0.13	0.13	1.33	0.4	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
HIP 79431	NULL	16 12 41.78	-18 52 31.79	11.37	0.02	69.46	3.12	Simbad	3197	170	4.8	0.14	NULL	NULL	NULL	NULL	0.22	0.2	0.49	0.05	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2017-04-10	M dwarf	NULL
HIP 8541	11343	01 50 06.00	-54 27 54.00	7.9	0.01	5.93	0.61	Simbad	4670	100	2.7	0.2	NULL	NULL	NULL	NULL	-0.15	0.08	1.98	0.37	Jones et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1603.03738	0	2016-03-24	NULL	NULL
HIP 91258	NULL	18 36 53.15	+61 42 09.01	8.65	0.01	22.26	0.66	Simbad	5519	70	4.53	0.12	NULL	NULL	1.06	0.06	0.23	0.05	0.94	0.07	Moutou et al. 2013	http://adsabs.harvard.edu/abs/2013arXiv1311.5271M	1	2013-11-27	NULL	NULL
HIP 97233	186641	19 45 41.00	+00 41 48.00	7.34	NULL	9.39	0.7	Simbad	5020	100	3.26	0.2	NULL	NULL	1.23	NULL	0.29	0.13	1.63	0.28	Jones et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1409.7429J	0	2014-10-20	NULL	NULL
HR 228	4732	00 49 13.95	-24 08 12.02	5.9	NULL	17.27	0.61	Simbad	5042	42	3.3	0.09	NULL	NULL	1.14	0.04	0.07	0.03	1.51	0.14	Andreasen et al. 2017	http://adsabs.harvard.edu/abs/2017arXiv170306671A	1	2017-01-19	NULL	NULL
HR 810	17051	02 42 33.46	-50 48 01.06	5.4	NULL	58.25	0.22	Simbad	6227	26	4.53	0.06	NULL	NULL	1.29	0.03	0.19	0.02	1.15	0.08	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
J1433	NULL	14 33 18.00	+10 11 23.00	18.86	NULL	NULL	NULL	Spec	13200	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Santisteban et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.07132	0	2016-05-27	L1	SDSS J143317.78+101123.3
K2-10	NULL	11 28 29.00	+01 41 26.00	12.5	NULL	3.35	NULL	Spec	5620	70	4.5	0.08	NULL	NULL	NULL	NULL	-0.07	0.07	0.98	0.07	Van Eylen et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.01851	0	2016-02-25	NULL	EPIC 201577035
K2-105	NULL	08 21 41.00	+13 29 51.00	12	0.2	NULL	NULL	Spec	5434	40	4.48	0.09	NULL	NULL	0.21	0.44	0.26	0.05	1.01	0.07	Narita et al. 2017	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1701.01294	0	2017-01-10	NULL	EPIC 211525389
K2-108	NULL	08 13 32.00	+16 25 11.00	12.33	0.01	NULL	NULL	Spec	5474	60	3.99	0.05	NULL	NULL	NULL	NULL	0.33	0.04	1.22	0.09	Petigura et al. 2017	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1702.00013	0	2017-02-06	NULL	EPIC-211736671
K2-11	NULL	11 16 10.08	+01 59 12.62	NULL	NULL	NULL	NULL	Spec	5433	100	NULL	NULL	NULL	NULL	NULL	NULL	-0.12	0.09	NULL	NULL	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2016-06-09	NULL	EPIC 201596316
K2-12	NULL	11 32 46.09	+02 14 41.58	12.26	0.01	NULL	NULL	Spec	5800	70	NULL	NULL	NULL	NULL	NULL	NULL	0.03	0.15	NULL	NULL	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2016-06-09	NULL	EPIC 201613023
K2-13	NULL	11 20 37.33	+02 30 9.710	12.9	0.04	NULL	NULL	Spec	5698	75	NULL	NULL	NULL	NULL	NULL	NULL	-0.54	0.13	NULL	NULL	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2016-06-09	NULL	EPIC 201629650
K2-14	NULL	11 52 13.69	+02 35 39.28	16.31	0.01	NULL	NULL	Spec	3789	17	NULL	NULL	NULL	NULL	NULL	NULL	-0.37	0.04	NULL	NULL	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2016-06-09	NULL	EPIC 201635569
K2-15	NULL	11 52 26.59	+04 15 17.09	14.66	0.05	NULL	NULL	Spec	5131	67	NULL	NULL	NULL	NULL	NULL	NULL	-0.46	0.17	NULL	NULL	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2016-06-09	NULL	EPIC 201736247
K2-17	NULL	11 53 19.15	+06 24 44.14	13.52	0.04	NULL	NULL	Spec	4320	50	NULL	NULL	NULL	NULL	NULL	NULL	0.15	0.15	NULL	NULL	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2016-06-09	NULL	EPIC 201855371
K2-18	NULL	11 30 14.51	+07 35 18.21	13.5	0.05	NULL	NULL	Spec	3503	60	NULL	NULL	NULL	NULL	NULL	NULL	0.09	0.09	NULL	NULL	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2016-06-09	NULL	EPIC 201912552
K2-26	NULL	06 16 50.00	+24 35 45.00	13	NULL	NULL	NULL	Spec	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beichman et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1603.01934	0	2016-03-11	M dwarf	EPIC 202083828
K2-27	NULL	11 26 04.00	+00 19 51.00	NULL	NULL	NULL	NULL	Spec	5320	70	4.6	0.08	NULL	NULL	NULL	NULL	0.14	0.07	0.93	0.07	Van Eylen et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.01851	0	2016-02-25	NULL	EPIC 201546283
K2-28	NULL	22 22 29.88	-07 57 19.55	15.81	NULL	29.1	NULL	Spec	3214	60	4.93	0.04	NULL	NULL	NULL	NULL	0.26	0.1	0.38	0.03	Hirano et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1511.08508	0	2016-06-09	M4	EPIC 206318379
K2-29	NULL	04 10 40.87	+24 24 06.18	12.56	0.26	NULL	NULL	Spec	5363	43	4.48	0.09	NULL	NULL	1.05	0.08	0.16	0.03	0.95	0.06	Santerne et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1601.07680	1	2017-03-28	Binary	EPIC 211089792
K2-3	NULL	11 29 20.00	-01 27 17.00	12.17	0.01	NULL	NULL	Spec	3896	189	4.72	NULL	NULL	NULL	NULL	NULL	-0.32	0.13	0.6	0.09	Crossfield et al. 2015	http://adsabs.harvard.edu/abs/2015ApJ...804...10C	0	2017-01-16	M dwarf	EPIC 201367065
K2-30	NULL	03 29 22.00	+22 17 58.00	13.5	0.04	2.06	NULL	Spec	5576	38	4.39	0.05	NULL	NULL	0.92	0.06	0.11	0.04	1.02	0.07	Lillo-Box et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1601.07635	1	2017-04-10	NULL	EPIC 210957318
K2-31	NULL	16 21 45.80	-23 32 52.32	10.8	0.07	NULL	NULL	Spec	5280	70	4.6	0.07	NULL	NULL	0.9	0.1	0.08	0.05	0.91	0.06	Grziwa et al. 2016	http://adsabs.harvard.edu/abs/2015arXiv151009149G	0	2017-01-30	NULL	NULL
K2-34	NULL	08 30 19.00	+22 14 09.00	11.5	0.06	2.54	NULL	Spec	6139	50	4.36	0.05	NULL	NULL	1.3	0.06	0.11	0.04	1.31	0.11	Lillo-Box et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1601.07635	1	2017-03-28	NULL	EPIC 212110888
K2-35	NULL	11 20 24.74	+01 17 9.440	14.37	0.05	NULL	NULL	Spec	4426	135	4.7	0.08	NULL	NULL	NULL	NULL	-0.02	0.24	0.67	0.07	Crossfield et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1607.05263	0	2017-02-17	NULL	NULL
K2-39	NULL	22 39 28.00	-9 01 22.00	10.83	NULL	2.66	NULL	Spec	4881	20	3.44	0.07	NULL	NULL	0.97	0.11	0.32	0.04	1.39	0.11	Van Eylen et al. 2016	http://adsabs.harvard.edu/abs/2016arXiv160509180V	0	2016-11-23	NULL	NULL
K2-4	NULL	11 38 58.95	-03 54 20.10	14.91	0.03	NULL	NULL	Spec	4197	44	NULL	NULL	NULL	NULL	NULL	NULL	-0.12	0.11	NULL	NULL	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2016-05-27	NULL	EPIC 201208431
K2-5	NULL	11 17 12.84	-01 52 40.71	14.91	0.03	NULL	NULL	Spec	4102	43	NULL	NULL	NULL	NULL	NULL	NULL	-0.51	0.05	NULL	NULL	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2016-06-09	NULL	EPIC 201338508
K2-6	NULL	11 52 46.14	-01 11 54.52	12.65	0.04	NULL	NULL	Spec	5850	90	NULL	NULL	NULL	NULL	NULL	NULL	-0.14	0.18	NULL	NULL	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2016-06-09	NULL	EPIC 201384232
K2-60	NULL	22 34 25.49	-13 43 54.13	12.9	NULL	NULL	NULL	Spec	5500	100	4.07	0.11	NULL	NULL	NULL	NULL	0.01	0.11	1.11	0.1	Eigmuller et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1611.03704	0	2017-01-31	NULL	NULL
K2-7	NULL	11 08 22.51	-01 03 56.72	13.22	0.03	NULL	NULL	Spec	5772	80	NULL	NULL	NULL	NULL	NULL	NULL	-0.07	0.16	NULL	NULL	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2016-06-09	NULL	EPIC 201393098
K2-77	NULL	03 40 54.82	+12 34 21.40	12.16	0.09	NULL	NULL	Spec	4970	45	4.47	0.13	NULL	NULL	NULL	NULL	0.29	0.06	0.89	0.07	Gaidos et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1606.05812	0	2017-01-31	NULL	NULL
K2-9	NULL	11 45 03.47	+00 00 19.08	NULL	NULL	NULL	NULL	Spec	3468	20	NULL	NULL	NULL	NULL	NULL	NULL	-0.46	0.11	NULL	NULL	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2016-06-09	M2	EPIC 201465501
K2-95	NULL	08 37 27.06	+18 58 36.07	17.27	NULL	NULL	NULL	Spec	3410	65	NULL	NULL	NULL	NULL	1.5	NULL	0.14	0.04	NULL	NULL	Mann et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.00726	0	2017-01-16	M2	EPIC 211916756
K2-97	NULL	08 31 3.090	+10 50 51.33	NULL	NULL	NULL	NULL	Spec	4790	90	3.26	0.01	NULL	NULL	NULL	NULL	0.42	0.08	1.55	0.12	Grunblatt et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1606.05818	0	2017-01-31	NULL	NULL
K2-99	NULL	13 55 05.70	-05 26 32.88	11.15	0.1	1.2	NULL	Spec	5990	40	3.47	0.06	NULL	NULL	1.2	0.1	0.2	0.05	1.81	0.14	Smith et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.00239	0	2017-01-24	NULL	EPIC 212803289
kappa CrB	142091	15 51 13.93	+35 39 26.56	4.8	0.01	32.79	0.21	Simbad	4889	48	3.2	0.11	NULL	NULL	1.13	0.04	0.11	0.03	1.56	0.17	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
Kapteyns	33793	05 11 40.58	-45 01 06.29	8.85	NULL	255.66	0.91	Simbad	3550	50	NULL	NULL	NULL	NULL	NULL	NULL	-0.89	NULL	0.28	0.01	Anglada-Escude et al. 2014	http://arxiv.org/abs/1406.0818	NULL	2014-06-04	M dwarf	HD33793
KELT-1	NULL	00 01 26.92	+39 23 01.68	10.63	0.06	NULL	NULL	Spec	6516	49	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1.34	0.06	Beatty et al. 2013	http://adsabs.harvard.edu/abs/2013arXiv1310.7585B	NULL	2013-10-31	NULL	NULL
KELT-10	NULL	18 58 11.00	-47 00 12.00	10.8	0.04	4.76	NULL	Spec	5948	74	4.32	0.03	NULL	NULL	NULL	NULL	0.09	0.11	1.16	0.08	Kuhn et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150902323K	0	2015-11-09	NULL	NULL
KELT-11	93396	10 46 50.00	-09 23 57.00	8	NULL	9.76	0.85	Simbad	5370	50	3.73	0.04	NULL	NULL	NULL	NULL	0.18	0.07	1.31	0.09	Pepper et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1607.01755	0	2016-09-12	NULL	NULL
KELT-12	NULL	17 50 33.72	+36 34 12.79	10.59	0.05	2.46	NULL	Spec	6278	51	3.89	0.05	NULL	NULL	NULL	NULL	0.19	0.08	1.52	0.11	Stevens et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1608.04714	0	2017-01-16	NULL	WASP-86
KELT-15	NULL	07 49 40.00	-52 07 14.00	11.44	0.05	2.85	NULL	Spec	6003	56	4.17	0.04	NULL	NULL	NULL	NULL	0.05	0.03	1.22	0.08	Rodriguez et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150908953R	0	2015-11-09	NULL	NULL
KELT-16	NULL	20 57 4.440	+31 39 39.57	11.9	0.12	2.29	NULL	Spec	6236	54	4.25	0.03	NULL	NULL	NULL	NULL	0	0.09	1.24	0.09	Oberst et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1608.00618	0	2016-09-12	NULL	NULL
KELT-17	NULL	08 22 28.00	+13 44 07.00	9.29	0.02	4.43	NULL	Spec	7454	49	4.22	0.02	NULL	NULL	NULL	NULL	-0.02	0.07	1.6	0.11	Zhou et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1607.03512	0	2016-09-12	NULL	NULL
KELT-18	NULL	14 26 06.00	+59 26 39.00	10.1	0.03	NULL	NULL	Spec	6670	120	4.03	0.05	NULL	NULL	NULL	NULL	0.09	0.13	1.52	0.12	McLeod et al. 2017	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1702.01657	0	2017-02-13	NULL	TYC 3865-1173-1
KELT-2A	NULL	06 10 39.34	+30 57 25.70	8.77	0.02	NULL	NULL	Spec	6148	48	4.03	0.03	NULL	NULL	NULL	NULL	0.03	0.08	1.31	0.06	Beatty et al. 2012	http://adsabs.harvard.edu/abs/2012ApJ...756L..39B	NULL	2013-02-26	NULL	NULL
KELT-3	NULL	09 54 34.38	+40 23 16.98	9.82	0.03	NULL	NULL	Spec	6304	49	4.2	0.03	NULL	NULL	NULL	NULL	0.05	0.08	1.28	0.06	Pepper et al. 2013	http://adsabs.harvard.edu/abs/2012arXiv1211.1031P	NULL	2013-02-26	NULL	NULL
KELT-4A	NULL	10 28 15.01	+25 34 23.50	9.98	0.04	4.74	NULL	Spec	6207	75	4.11	0.01	NULL	NULL	NULL	NULL	-0.12	0.06	1.26	0.09	Eastman et al. 2015	adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1510.00015	0	2016-02-25	NULL	Position not clear, close to COU 777
KELT-6	NULL	13 03 55.65	+30 38 24.26	10.32	NULL	NULL	NULL	Spec	6246	88	4.22	0.09	NULL	NULL	1.66	0.13	-0.22	0.06	1.19	0.09	Andreasen et al. 2017	http://adsabs.harvard.edu/abs/2017arXiv170306671A	1	2017-01-19	NULL	NULL
KELT-7	NULL	05 13 11.00	+33 19 05.00	8.54	0.03	8.03	NULL	Spec	6789	50	4.23	0.1	NULL	NULL	NULL	NULL	0.14	0.08	1.46	0.11	Bieryla et al. 2015	http://adsabs.harvard.edu/abs/2015AAS...22525712B	0	2015-03-19	NULL	NULL
KELT-8	343246	18 53 13.00	+24 07 39.00	10.83	0.05	3.72	NULL	Spec	5754	55	4.08	0.05	NULL	NULL	NULL	NULL	0.27	0.04	1.25	0.09	Fulton et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150506738F	0	2015-06-04	NULL	NULL
Kepler-10	NULL	19 02 43.06	+50 14 28.75	10.96	NULL	NULL	NULL	Spec	5627	44	4.34	0.01	NULL	NULL	NULL	NULL	-0.15	0.04	0.9	0.06	Batalha et al. 2011	http://adsabs.harvard.edu/abs/2011ApJ...729...27B	NULL	2013-02-26	NULL	NULL
Kepler-100	NULL	19 25 32.60	+41 59 24.00	11.06	0.07	3.54	NULL	Spec	5825	75	4.13	0.01	NULL	NULL	NULL	NULL	0.02	0.1	1.18	0.08	Silva Aguirre et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1504.07992	0	2015-12-10	NULL	NULL
Kepler-1000	NULL	19 06 44.53	+47 05 53.6	NULL	NULL	NULL	NULL	NULL	6453	73	4.23	0.04	NULL	NULL	NULL	NULL	0.35	0.05	1.42	0.1	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1001	NULL	19 05 05.73	+48 37 07.3	NULL	NULL	NULL	NULL	NULL	5491	67	4.52	0.07	NULL	NULL	NULL	NULL	-0.03	0.15	0.95	0.07	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1002	NULL	19 32 19.08	+43 04 25.4	NULL	NULL	NULL	NULL	NULL	6144	54	4.13	0.01	NULL	NULL	NULL	NULL	0.04	0.06	1.28	0.09	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1003	NULL	19 28 04.91	+44 52 34.4	NULL	NULL	NULL	NULL	NULL	6109	172	4.35	0.13	NULL	NULL	NULL	NULL	0.01	0.16	1.17	0.11	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1004	NULL	19 49 26.23	+49 47 51.2	NULL	NULL	NULL	NULL	NULL	4972	45	3.43	0.02	NULL	NULL	NULL	NULL	-0.04	0.03	1.32	0.09	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1005	NULL	19 05 08.64	+43 19 13.7	NULL	NULL	NULL	NULL	NULL	5782	67	4.38	0.1	NULL	NULL	NULL	NULL	0.02	0.1	1.07	0.08	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1006	NULL	19 43 00.99	+42 32 14.9	NULL	NULL	NULL	NULL	NULL	5328	146	4.59	0.06	NULL	NULL	NULL	NULL	-0.4	0.21	0.82	0.08	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1007	NULL	19 43 37.57	+45 48 32.8	NULL	NULL	NULL	NULL	NULL	4587	93	4.62	0.03	NULL	NULL	NULL	NULL	0.03	0.16	0.71	0.06	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1008	NULL	19 46 11.41	+44 56 31.0	NULL	NULL	NULL	NULL	NULL	5066	73	4.56	0.04	NULL	NULL	NULL	NULL	-0.01	0.1	0.84	0.06	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1009	NULL	18 51 26.38	+42 39 56.8	NULL	NULL	NULL	NULL	NULL	4027	38	4.7	0.01	NULL	NULL	NULL	NULL	-0.12	0.1	0.55	0.04	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-101	NULL	18 53 1.32	+48 21 18.82	NULL	NULL	NULL	NULL	Spec	5570	134	4.07	0.24	NULL	NULL	NULL	NULL	0.3	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-1010	NULL	19 16 46.23	+44 08 57.6	NULL	NULL	NULL	NULL	NULL	5253	74	4.55	0.05	NULL	NULL	NULL	NULL	-0.01	0.16	0.89	0.07	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1011	NULL	19 49 36.37	+46 49 26.4	NULL	NULL	NULL	NULL	NULL	5416	113	4.52	0.07	NULL	NULL	NULL	NULL	0.08	0.16	0.96	0.08	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1012	NULL	19 17 11.10	+46 27 28.6	NULL	NULL	NULL	NULL	NULL	5556	72	4.5	0.04	NULL	NULL	NULL	NULL	0.05	0.11	0.99	0.07	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1013	NULL	19 20 59.54	+44 26 06.9	NULL	NULL	NULL	NULL	NULL	4954	79	4.59	0.03	NULL	NULL	NULL	NULL	0.04	0.16	0.81	0.07	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1014	NULL	19 00 29.29	+44 06 38.2	NULL	NULL	NULL	NULL	NULL	5388	67	4.54	0.07	NULL	NULL	NULL	NULL	-0.06	0.15	0.91	0.07	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
Kepler-1015	NULL	19 31 01.76	+43 25 36.9	NULL	NULL	NULL	NULL	NULL	6769	166	4.09	0.17	NULL	NULL	NULL	NULL	0.06	0.14	1.51	0.17	Morton et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825	0	2016-05-23	NULL	data from exoplanetarchive
